,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_person,search_vehicle,reason_for_search,reason_for_stop
2316367,28.0,hispanic,female,True,False,False,False,True,True,incarrest,------.-(b)
2316377,21.0,white,female,True,False,False,False,True,True,incarrest,------(a-)
2316390,21.0,black,male,True,False,False,False,True,False,incarrest,------(c)
2316402,26.0,white,male,True,False,False,False,True,True,prob,------(a)
2316426,41.0,black,male,True,False,False,False,True,True,k-,--*
2316456,25.0,hispanic,male,True,False,False,False,True,True,other,-------(a)
2316540,26.0,black,male,True,False,False,True,True,False,incarrest,------(f)
2316574,23.0,white,female,True,False,False,True,True,False,cons,------.-(b)
2316585,20.0,black,male,True,False,False,True,True,True,exigent,------(h)
2316586,26.0,black,female,True,False,False,True,True,True,incarrest,------(a)
2316621,18.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2316622,33.0,white,male,True,False,False,False,True,True,exigent,------(c)
2316623,19.0,black,male,False,True,False,False,True,False,incarrest,------(b-)
2316640,23.0,hispanic,male,True,False,False,True,True,False,incarrest,------(a)
2316647,23.0,hispanic,male,True,False,False,False,True,False,incarrest,--*
2316667,49.0,white,male,True,False,False,False,True,True,incarrest,------(a)
2316716,21.0,black,male,True,False,False,False,True,True,prob,------(c)
2316717,32.0,hispanic,male,True,False,False,False,True,False,incarrest,------(a-)
2316804,20.0,white,female,True,False,False,True,True,True,incarrest,------.-
2316812,23.0,hispanic,male,True,False,False,True,True,True,cons,------(a-)
2316823,31.0,hispanic,male,True,False,False,True,True,True,cons,------(a)
2316844,29.0,white,male,False,False,True,False,True,True,cons,------(c)
2316856,49.0,black,male,True,False,False,False,False,True,incarrest,------(c)
2316857,29.0,white,male,True,False,False,True,True,True,incarrest,------(d)
2316898,28.0,white,female,False,False,True,False,False,True,cons,------(d)
2316899,24.0,white,male,False,False,True,False,True,True,cons,------(b)
2316938,28.0,white,male,True,False,False,False,True,True,incarrest,------(a)
2316956,19.0,hispanic,male,False,False,True,False,True,False,other,------(a)
2317007,33.0,black,male,True,False,False,False,True,True,incarrest,------.-
2317008,47.0,hispanic,male,True,False,False,False,True,False,other,------(a-)
2317022,34.0,white,male,True,False,False,False,True,False,incarrest,------.-(b)
2317023,32.0,white,male,True,False,False,True,True,True,incarrest,------(a)
2317068,16.0,black,female,False,True,False,False,False,True,cons,------(a)
2317081,27.0,white,male,True,False,False,False,True,True,incarrest,------(c)
2317089,22.0,black,male,True,False,False,False,False,True,incarrest,------(h)
2317090,19.0,black,male,True,False,False,False,False,True,incarrest,------(h)
2317099,37.0,black,male,True,False,False,False,True,True,incarrest,------(a-)
2317120,49.0,white,male,True,False,False,False,True,False,incarrest,------(a-)
2317121,49.0,black,male,True,False,False,False,True,False,incarrest,------(a-)
2317155,30.0,other,male,True,False,False,False,True,True,incarrest,------(a)
2317156,24.0,black,male,True,False,False,False,True,False,incarrest,------(g)
2317173,25.0,white,male,False,False,False,False,True,True,cons,------(a)
2317217,19.0,black,female,True,False,False,False,True,True,prob,------(c)
2317218,62.0,hispanic,male,True,False,False,False,True,True,incarrest,------(i-)
2317225,27.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2317226,40.0,white,male,False,True,False,False,True,True,cons,------.-
2317273,41.0,black,male,False,False,True,False,True,True,k-,------(a)
2317274,26.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2317290,31.0,other,female,True,False,False,True,False,True,cons,------(a-)
2317291,25.0,black,male,False,False,True,False,True,True,cons,------(i-)
2317292,29.0,hispanic,male,True,False,False,False,True,False,incarrest,--*
2317306,32.0,white,male,False,False,True,False,True,True,cons,------(a)
2317307,24.0,white,female,True,False,False,False,True,True,other,------(f)
2317321,46.0,white,male,True,False,False,False,True,True,cons,------(a)
2317322,21.0,white,male,False,False,True,False,True,False,k-,------(c)
2317323,25.0,other,male,False,True,False,False,True,False,cons,------(h)
2317324,37.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a-)
2317345,33.0,white,male,True,False,False,False,True,True,incarrest,------(h)
2317354,32.0,white,male,False,True,False,False,True,True,k-,------(f)
2317371,34.0,black,male,True,False,False,True,True,True,incarrest,-------.-(d-)
2317452,27.0,black,male,True,False,False,False,True,True,incarrest,------(a)
2317472,33.0,white,female,True,False,False,True,True,True,incarrest,------(h-)
2317473,46.0,black,male,True,False,False,True,True,True,other,------(c)
2317488,40.0,hispanic,male,True,False,False,False,True,False,incarrest,------.-(b)
2317489,50.0,black,male,True,False,False,False,True,True,incarrest,------(a)
2317506,24.0,white,female,True,False,False,False,True,True,prob,------
2317517,28.0,white,female,True,False,False,False,True,True,incarrest,------(a)
2317532,23.0,black,female,True,False,False,False,True,True,incarrest,------.-
2317550,20.0,white,male,False,True,False,False,False,True,cons,-------.-(d-)
2317596,28.0,hispanic,male,True,False,False,False,True,True,incarrest,------(b)
2317610,46.0,white,female,True,False,False,False,True,True,cons,------(d)
2317611,25.0,white,male,True,False,False,False,True,True,incarrest,------(d-)
2317634,30.0,white,female,False,True,False,False,True,True,incarrest,------(a)
2317680,31.0,hispanic,female,True,False,False,False,True,True,incarrest,------(i-)
2317714,45.0,white,male,True,False,False,False,True,True,prob,------(a)
2317715,27.0,black,male,True,False,False,True,True,True,exigent,------.-
2317731,49.0,white,male,True,False,False,False,True,True,incarrest,------(a-)
2317746,27.0,white,male,True,False,False,True,True,True,incarrest,------(a)
2317747,28.0,black,male,False,True,False,False,True,True,incarrest,------.-(a)
2317780,58.0,black,male,True,False,False,False,True,True,incarrest,------(b)
2317781,33.0,black,male,True,False,False,False,True,True,incarrest,------(h)
2317782,26.0,white,male,True,False,False,False,True,True,k-,------(a)
2317783,34.0,white,female,True,False,False,False,True,True,incarrest,------(c)
2317796,20.0,white,male,False,True,False,False,False,True,cons,------(a)
2317797,44.0,hispanic,male,True,False,False,False,True,False,incarrest,------(a-)
2317807,36.0,black,male,True,False,False,False,True,False,incarrest,------(b)
2317808,23.0,white,female,False,True,False,False,True,True,prob,------.-
2317827,19.0,hispanic,male,False,True,False,False,True,True,k-,-------.-(d-)
2317850,54.0,white,male,True,False,False,False,True,True,incarrest,------(a-)
2317851,54.0,white,male,True,False,False,False,True,True,incarrest,------(b-)
2317887,24.0,white,male,True,False,False,False,True,True,k-,--*
2317891,25.0,white,male,False,False,True,False,False,True,cons,------.-
2317914,23.0,black,male,True,False,False,False,True,True,incarrest,------(a)
2317946,33.0,white,female,False,True,False,False,True,True,k-,------(h)
2317964,20.0,black,male,True,False,False,False,True,True,incarrest,------(c)
2317965,23.0,white,female,True,False,False,True,True,True,k-,------(c)
2317966,18.0,white,male,False,True,False,False,True,True,cons,------(a)
2317979,26.0,white,female,False,True,False,False,False,True,cons,------.-
2317980,35.0,white,male,False,True,False,False,True,True,k-,------(a)
2317993,41.0,white,male,True,False,False,False,True,True,incarrest,------(a-)
2317994,17.0,white,male,False,False,True,False,True,True,cons,------(a-)
2318015,21.0,black,male,True,False,False,False,True,True,incarrest,------(h)
2318016,22.0,white,male,True,False,False,True,True,True,cons,------(a)
2318058,17.0,black,female,False,False,True,False,True,True,prob,------(a-)
2318117,33.0,black,male,True,False,False,False,True,True,k-,------(a)
2318157,19.0,white,male,True,False,False,False,True,True,prob,------(a)
2318158,43.0,black,male,True,False,False,False,True,True,incarrest,------(f)
2318159,19.0,hispanic,male,True,False,False,False,True,True,prob,------(b)
2318160,24.0,black,male,True,False,False,False,True,True,cons,------(c)
2318169,39.0,white,male,True,False,False,False,True,False,other,------(c)
2318183,23.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2318193,42.0,white,female,True,False,False,False,True,True,prob,-------(b)
2318194,26.0,hispanic,male,True,False,False,False,True,True,incarrest,------(b)
2318217,23.0,black,male,True,False,False,False,True,False,incarrest,-------.-(d-)
2318218,23.0,black,male,True,False,False,False,True,False,other,-------.-(c-)
2318219,42.0,black,male,True,False,False,False,True,True,incarrest,------.-
2318224,25.0,black,male,True,False,False,False,True,True,incarrest,------(h)
2318238,32.0,white,male,True,False,False,False,True,True,incarrest,------(a)
2318239,21.0,white,female,True,False,False,False,True,True,incarrest,------(a-)
2318286,55.0,white,male,True,False,False,False,True,True,incarrest,------(h)
2318287,54.0,white,male,True,False,False,False,True,True,incarrest,------(a-)
2318323,61.0,white,male,True,False,False,False,True,True,incarrest,------(h)
