,subject_age,subject_race,subject_sex,contraband_found,frisk_performed,search_person,search_vehicle,reason_for_stop,reason_for_search
7457,19.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
7499,45.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7503,24.0,black,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7508,26.0,black,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7545,20.0,black,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7568,21.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7774,46.0,black,male,False,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
7808,55.0,asian/pacific islander,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7810,27.0,hispanic,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7863,39.0,white,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
7947,24.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
7992,36.0,white,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
8006,56.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
8020,25.0,white,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
8022,38.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
8025,19.0,hispanic,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
8039,32.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
8048,20.0,black,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
8068,22.0,hispanic,male,False,True,True,True,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
8069,27.0,black,male,False,True,True,False,OTHER,FRISK FOR SAFETY
8071,63.0,white,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
8088,21.0,hispanic,male,False,True,True,True,CALL FOR SERVICE,FRISK FOR SAFETY
8101,53.0,white,male,True,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
8123,26.0,hispanic,male,True,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
8124,34.0,white,male,True,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
8176,46.0,black,male,False,True,True,False,CALL FOR SERVICE,FRISK FOR SAFETY
8197,35.0,white,male,False,True,True,False,SUSPICIOUS PERSON / VEHICLE,FRISK FOR SAFETY
8311,32.0,hispanic,male,False,True,True,False,PRE-EXISTING KNOWLEDGE,FRISK FOR SAFETY
8332,19.0,hispanic,male,True,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
8403,24.0,white,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
8431,21.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
8497,29.0,white,female,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
8538,22.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
8549,29.0,white,male,False,False,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,PROBABLE CAUSE
8614,25.0,hispanic,male,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
8765,38.0,white,male,False,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
8767,45.0,white,female,False,False,True,True,VIOLATION OF CITY ORDINANCE,CONSENT
9393,26.0,white,female,False,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
9519,23.0,hispanic,male,True,True,True,True,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
9719,21.0,white,female,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
9720,20.0,white,female,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
9721,20.0,white,male,True,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
9871,21.0,black,male,True,False,True,False,SUSPICIOUS PERSON / VEHICLE,PROBABLE CAUSE|CONSENT
9872,20.0,black,male,True,False,True,False,SUSPICIOUS PERSON / VEHICLE,CONSENT
9875,25.0,hispanic,male,True,True,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,FRISK FOR SAFETY
9878,34.0,hispanic,female,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
9879,34.0,hispanic,female,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
9880,29.0,hispanic,male,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
9881,29.0,hispanic,male,True,False,True,False,VIOLATION OF TRANSPORTATION/VEHICLE LAWS,CONSENT
